codigo_ocorrencia1;ocorrencia_tipo;ocorrencia_tipo_categoria;taxonomia_tipo_icao
39507;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
39527;OPERAÇÃO A BAIXA ALTITUDE;OPERAÇÃO A BAIXA ALTITUDE;LALT
39627;F.O.D.;OUTROS | F.O.D.;OTHR
39687;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
39707;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
39709;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
39711;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
39727;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
39747;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
39748;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
39768;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OTHR
39772;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
39787;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
39789;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
39807;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
39809;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
39810;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
39828;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
39847;COLISÃO COM OBSTÁCULOS NO SOLO;COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO;GCOL
39848;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OTHR
39849;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
39850;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
39851;OUTROS;OUTROS;OTHR
39887;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
39910;COLISÃO COM OBSTÁCULOS NO SOLO;COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO;GCOL
39913;COM PARA-BRISAS / JANELA / PORTA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA;SCF-NP
39913;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
39914;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
39916;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
39930;PROBLEMAS FISIOLÓGICOS;OUTROS | PROBLEMAS FISIOLÓGICOS;OTHR
39933;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
39967;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
39969;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
39972;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
39987;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
39988;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
39992;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
39993;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40027;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
40069;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
40087;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40088;POUSO LONGO;EXCURSÃO DE PISTA | POUSO LONGO;RE
40089;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
40107;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
40147;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
40147;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40148;PANE SECA;COMBUSTÍVEL | PANE SECA;FUEL
40149;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40150;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40168;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40170;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
40171;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40190;OUTROS;OUTROS;OTHR
40207;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40209;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40210;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40211;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40212;FALHA DO MOTOR NO SOLO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR NO SOLO;SCF-PP
40213;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40214;POUSO EM LOCAL NÃO PREVISTO;OUTROS | POUSO EM LOCAL NÃO PREVISTO;OTHR
40215;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40227;VAZAMENTO DE OUTROS FLUIDOS;OUTROS | VAZAMENTO DE OUTROS FLUIDOS;OTHR
40228;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
40247;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
40248;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
40250;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
40251;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40258;COLISÃO COM OBSTÁCULOS NO SOLO;COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO;GCOL
40260;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
40261;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA | POUSO SEM TREM;ARC
40262;COLISÃO COM OBSTÁCULOS NO SOLO;COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO;GCOL
40264;POUSO EM LOCAL NÃO PREVISTO;OUTROS | POUSO EM LOCAL NÃO PREVISTO;OTHR
40267;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40269;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40269;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
40270;FOGO NO SOLO;FOGO/FUMAÇA (SEM IMPACTO) | FOGO NO SOLO;F-NI
40271;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
40273;COM PARA-BRISAS / JANELA / PORTA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA;SCF-NP
40275;OUTROS;OUTROS;OTHR
40287;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40288;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
40290;OUTROS;OUTROS;OTHR
40291;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40292;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40293;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40294;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40295;OUTROS;OUTROS;OTHR
40296;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40307;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
40310;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40311;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40312;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40314;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40316;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40318;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40320;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40321;OUTROS;OUTROS;OTHR
40322;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40323;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40324;OUTROS;OUTROS;OTHR
40325;POUSO EM LOCAL NÃO PREVISTO;OUTROS | POUSO EM LOCAL NÃO PREVISTO;OTHR
40326;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40327;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40328;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
40329;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
40330;OUTROS;OUTROS;OTHR
40331;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OTHR
40332;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40349;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
40350;PANE SECA;COMBUSTÍVEL | PANE SECA;FUEL
40351;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
40352;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40412;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40413;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40414;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
40447;INDETERMINADO;INDETERMINADO;UNK
40489;VAZAMENTO DE OUTROS FLUIDOS;OUTROS | VAZAMENTO DE OUTROS FLUIDOS;OTHR
40508;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40554;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
40572;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40573;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40575;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
40576;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40577;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40579;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40581;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
40583;PERDA DE COMPONENTE NO SOLO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE NO SOLO;SCF-NP
40617;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
40620;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;SCF-NP
40621;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40622;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
40623;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40624;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
40652;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
40732;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40774;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40791;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40793;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
40793;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40819;COM PARA-BRISAS / JANELA / PORTA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA;SCF-NP
40821;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40823;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
40825;SOPRO DE REATOR;OUTROS | SOPRO DE REATOR;OTHR
40826;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40827;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO;MAC
40834;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40835;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
40837;PERDA DE COMPONENTE EM VOO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO;SCF-NP
40839;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40842;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
40843;OUTROS;OUTROS;OTHR
40853;COM COMANDOS DE VOO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM COMANDOS DE VOO;SCF-NP
40855;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
40933;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
41053;VOO CONTROLADO CONTRA O TERRENO;VOO CONTROLADO CONTRA O TERRENO;CFIT
41054;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
41132;OUTROS;OUTROS;OTHR
41155;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
41155;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
41172;OUTROS;OUTROS;OTHR
41174;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
41177;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
41178;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
41179;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
41181;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
41224;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
41235;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
41236;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
41252;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
41272;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
41274;OUTROS;OUTROS;OTHR
41374;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
41375;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
41376;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
41377;POUSO BRUSCO;CONTATO ANORMAL COM A PISTA | POUSO BRUSCO;ARC
41378;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
41392;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
41393;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
41394;COM PARA-BRISAS / JANELA / PORTA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA;SCF-NP
41409;AERONAVE ATINGIDA POR OBJETO;OUTROS | AERONAVE ATINGIDA POR OBJETO;OTHR
41411;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
41411;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
41480;POUSO BRUSCO;CONTATO ANORMAL COM A PISTA | POUSO BRUSCO;ARC
41481;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
41482;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
41484;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
41485;FALHA DO MOTOR NO SOLO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR NO SOLO;SCF-PP
41487;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
41488;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
41551;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
41552;OUTROS;OUTROS;OTHR
41553;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
41569;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
41571;COM PARA-BRISAS / JANELA / PORTA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA;SCF-NP
41573;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
41574;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
41577;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP
41578;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA | POUSO SEM TREM;ARC
41579;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP
41589;VAZAMENTO DE OUTROS FLUIDOS;OUTROS | VAZAMENTO DE OUTROS FLUIDOS;OTHR
