codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
39316;034/2011;2011-05-18;2011-05-27;2012-12-18;Realizar uma auditoria no Aeroclube de Blumenau, visando verificar a conformidade da atividade aérea de instrução desenvolvida com os requisitos aplicáveis.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39316;035/2011;2011-05-18;2011-05-27;2011-07-07;Incrementar a fiscalização dos aeroclubes e escolas de aviação, visando detectar e corrigir irregularidades no processo de instrução aérea antes que venham a contribuir para a ocorrência de acidentes aeronáuticos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39318;471/2012;2012-11-19;2012-12-11;2013-04-22;Reavaliar os programas de manutenção aprovados para as empresas que operam segundo o RBAC 135, no que tange aos limites para revisão geral estabelecidos pela Pratt & Whitney para os motores da série PT6, em especial no tocante aos limites calendáricos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39318;472/2012;2012-11-19;2012-12-11;2014-02-18;Realizar uma auditoria na Piquiatuba Táxi-Aéreo Ltda., a fim de verificar suas condições operacionais.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39318;473/2012;2012-11-19;2012-12-11;2014-04-15;Realizar uma auditoria na CONAL - Construtora Nacional de Aviões Ltda., a fim de verificar suas condições operacionais.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39318;474/2012;2012-11-19;2012-12-11;2014-04-15;Atuar junto à Piquiatuba Táxi-Aéreo Ltda., visando incrementar seus mecanismos de supervisão dos serviços de manutenção, a fim de impedir a liberação de aeronaves para o voo com inspeções e/ou revisões vencidas e com itens não aeronáuticos instalados.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39318;475/2012;2012-11-19;2012-12-11;2014-02-18;Atuar junto à Piquiatuba Táxi-Aéreo Ltda., visando aperfeiçoar o gerenciamento da segurança de voo na empresa, provendo os recursos humanos e materiais necessários à prevenção de acidentes aeronáuticos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39319;067/2011;2011-06-30;2011-08-01;2013-09-17;Adotar mecanismo para a padronização das avaliações efetuadas pelos Inspetores de Aviação Civil (INSPAC), no sentido de que seja exigido dos avaliados a demonstração teórica e prática de conhecimentos afetos aos gráficos de desempenho das aeronaves, bem como o profundo conhecimento dos procedimentos de emergência.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39319;068/2011;2011-06-30;2011-08-01;2011-09-12;Realizar um trabalho de conscientização junto aos pilotos voltado à divulgação dos riscos inerentes à utilização de procedimentos IFR não homologados.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39319;069/2011;2011-06-30;2011-08-01;2011-09-12;Realizar um trabalho de conscientização junto aos pilotos voltado à divulgação das consequências advindas da pressa na realização do planejamento e preparação do voo.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39320;035/2010;2010-05-13;2010-04-20;NULL;Criar um mecanismo de segurança operacional que determine aos pilotos, antes de cada voo, avaliar a influência das condições ambientais (temperatura, altitude pressão e vento) no planejamento da decolagem.;AGUARDANDO RESPOSTA;BRASAG;BRASIL SERVIÇOS AERO AGRÍCOLA
39320;036/2010;2010-05-13;2010-05-13;NULL;Implantar, de imediato, procedimentos específicos para acompanhamento das atividades realizadas pelo piloto agrícola e pelo pessoal de apoio, no tocante ao planejamento do voo, a instalação de biruta e ao reconhecimento terrestre.;AGUARDANDO RESPOSTA;BRASAG;BRASIL SERVIÇOS AERO AGRÍCOLA
39320;037/2010;2010-05-13;2010-05-13;NULL;Adotar, durante o curso de formação de pilotos agrícolas, conteúdo relativo à consulta dos Manuais de Operação, reforçando a importância do uso dos gráficos de desempenho das aeronaves.;***;ESCOLAS SAE-AG;ESCOLAS AEROAGRÍCOLAS
39320;038/2010;2010-05-13;2010-05-13;NULL;Divulgar os ensinamentos colhidos neste acidente em palestras e seminários, especialmente os destinados à aviação agrícola, bem como emitir uma DIVOP aos SERIPA.;CUMPRIDA;SERIPA-5;QUINTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39321;032/2011;2011-05-18;2011-05-27;NULL;Divulgar este Relatório aos pilotos da aviação geral, enfatizando a necessidade da realização do circuito de tráfego padrão, da operação em aeródromos registrados e homologados, bem como dos conceitos de aproximação estabilizada.;AGUARDANDO RESPOSTA;ABAG;ASSOCIAÇÃO BRASILEIRA DE AVIAÇÃO GERAL
39321;033/2011;2011-05-18;2011-05-27;NULL;Divulgar este Relatório aos pilotos da aviação geral, enfatizando a necessidade da realização do circuito de tráfego padrão, da operação em aeródromos registrados e homologados, bem como dos conceitos de aproximação estabilizada.;AGUARDANDO RESPOSTA;APPA;ASSOCIAÇÃO DE PILOTOS E PROPRIETÁRIOS DE AERONAVES
39322;093/2011;2011-07-21;2011-08-01;2012-02-06;Realizar uma Vistoria de Segurança de Voo na empresa ROTORWEST, visando à verificação de não conformidades relacionadas ao não lançamento de horas de voo em suas aeronaves e à utilização destas em atividades diferentes das previstas para uma empresa SAE.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39322;094/2011;2011-07-21;2011-08-01;2014-04-28;Aperfeiçoar os mecanismos de supervisão relacionados às escolas de pilotagem e aos aeroclubes, de modo a assegurar o adequado registro da instrução ministrada, bem como a correta aplicação do conteúdo dos manuais dos cursos de PPH e PCH, principalmente no que se refere aos seguintes temas: limitação das aeronaves# peso e balanceamento# procedimentos normais e de emergência# padronização# briefing e debriefing.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39385;172/D/11;2011-08-01;2011-08-25;2011-09-23;Divulgar o presente relatório final aos operadores da aviação geral, a fim de elevar o alerta quanto à verificação do trem de pouso antes da aterrissagem.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39405;097/2011;2011-07-21;2011-07-21;NULL;Divulgar aos seus pilotos o conteúdo deste Relatório Final, alertando-os para os seus pontos focais, sobretudo em relação aos cuidados que devem ser tomados durante os voos a baixa altura, com condições meteorológicas pouco favoráveis.;***;DIVERSOS-J;OPERADOR DA AERONAVE
39507;065/2011;2011-06-30;2011-08-01;2016-06-15;Revisar os requisitos de concessão e revalidação de habilitação técnica de piloto agrícola (PAGR), a fim de assegurar-se de que o piloto possua os conhecimentos necessários relativos ao armazenamento, transporte e abastecimento de combustível da aeronave.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39507;066/2011;2011-06-30;2011-07-19;2016-07-19;Divulgar o presente relatório aos seus associados, a fim de alertar sobre os cuidados a serem tomados no armazenamento, transporte e abastecimento de combustível das aeronaves agrícolas.;CUMPRIDA;SINDAG;SINDICATO NACIONAL DAS EMPRESAS DE AVIAÇÃO AGRÍCOLA
39687;IG-509/CENIPA/2017 - 01;2018-05-17;2018-05-17;NULL;Divulgar os ensinamentos colhidos da presente investigação, buscando alertar operadores e mantenedores, sobretudo os que operam aeronaves convertidas de Gasolina de Aviação (GAV) para Álcool Etílico Hidratado Combustível (AEHC), sobre a necessidade da correta análise de todos os componentes do motor, por ocasião das inspeções programadas, visando identificar possíveis anormalidades.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39707;088/2011;2011-07-21;2011-08-09;NULL;Impedir a operação a operação de aeronaves até que seja efetivada a homologação do aeródromo.;AGUARDANDO RESPOSTA;PREF-CANUTAMA;PREFEITURA MUNICIPAL DE CANUTAMA-AM
39707;089/2011;2011-07-21;2011-08-09;NULL;Viabilizar estudos e projetos de infra-estrutura com vistas à homologação do aeródromo, em conformidade com a legislação da Agência Nacional de Aviação Civil.;AGUARDANDO RESPOSTA;PREF-CANUTAMA;PREFEITURA MUNICIPAL DE CANUTAMA-AM
39707;090/2011;2011-07-21;2011-08-09;NULL;Propor a homologação do aeródromo à Agência Nacional de Aviação Civil, conforme as normas vigentes.;AGUARDANDO RESPOSTA;PREF-CANUTAMA;PREFEITURA MUNICIPAL DE CANUTAMA-AM
39709;091/2011;2011-07-21;2011-08-09;NULL;Revisar os procedimentos de inspeção de 100 horas das aeronaves PA-31T1, visando assegurar-se do cumprimento de todos os procedimentos previstos pelo fabricante, em especial no tocante à inspeção dos cilindros de freio quanto à segurança e operação.;AGUARDANDO RESPOSTA;AXIAL;OFICINA AXIAL AVIAÇÃO
39709;092/2011;2011-07-21;2011-08-01;2014-05-14;Realizar uma vistoria de segurança de voo na oficina Axial-Aviação Ltda, visando verificar a situação dos serviços de manutenção realizados, em especial no tocante à inspeção de 100 horas das aeronaves PA-31T1.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39747;063/D/10;2010-04-06;2010-04-16;2010-12-14;Realizar auditoria no setor de operações da empresa Addey Táxi Aéreo Ltda., buscando se certificar da adequação do seu Programa de Treinamento e Manual Geral de Operações (MGO), no que se refere ao planejamento de vôo, incluindo os cálculos de peso e balanceamento das aeronaves.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39747;064/D/10;2010-04-06;2010-04-16;2010-06-10;Realizar inspeção no aeródromo de Cairu / Lorenzo (SNCL), buscando se certificar da adequabilidade das suas condições de infra-estrutura, em conformidade com o que dispõe a IAC 4301.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39747;065/D/10;2010-04-06;2010-04-16;2010-12-14;Intensificar a realização das inspeções de rampa no aeroporto de Salvador-BA (SBSV) e nos aeródromos de Morro de São Paulo-BA (SNCL e SNPP), visando acompanhar as operações de táxi aéreo no período de alta temporada, focando o peso e balanceamento das aeronaves e qualificação dos pilotos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39747;067/D/10;2010-04-06;2010-04-16;2010-12-14;Adotar mecanismos, por se tratar de ano eleitoral, visando orientar os gestores e pilotos que atuam nas empresas regidas pelo RBHA 135, quanto aos cuidados necessários para uma operação segura nos aeródromos utilizados pela Aviação Geral, alertando-os sobre os riscos potenciais decorrentes da precária infra-estrutura presente em alguns desses aeródromos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39887;A-557/CENIPA/2015 - 01;2016-04-07;2016-05-18;2017-02-07;Avaliar a pertinência da emissão de uma Diretriz de Aeronavegabilidade relativa ao cumprimento do SB R-15A, de 04 de outubro de 1989, emitido pela Sensenich Propeller Inc., com o intuito de tornar obrigatória no Brasil a aplicação dos procedimentos, contidos no referido boletim, nas hélices metálicas de passo fixo deste fabricante, instaladas em aeronaves de matrícula brasileira, a fim de se evitar a possibilidade de quebra da pá por corrosão e fadiga.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39913;400/2011;2011-12-21;2012-02-06;NULL;Realizar treinamento de CRM para todo o pessoal da empresa envolvido com a atividade aérea.;AGUARDANDO RESPOSTA;FLEX;FLEX AERO TÁXI-AÉREO
39913;401/2011;2011-12-21;2012-02-06;NULL;Divulgar os ensinamentos colhidos na ocorrência aos tripulantes da empresa, alertando para a observância dos procedimentos normais e de emergência em decolagens.;AGUARDANDO RESPOSTA;FLEX;FLEX AERO TÁXI-AÉREO
39913;402/2011;2011-12-21;2012-02-06;2012-05-03;Adotar mecanismo para divulgação dos ensinamentos colhidos na ocorrência aos operadores de aeronave 208B, alertando para a observância dos procedimentos normais e de emergência em decolagens.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39916;IG-171/CENIPA/2013 - RSV 001;2013-12-30;2014-03-19;2014-09-26;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39916;IG-171/CENIPA/2013 - RSV 002;2013-12-30;2014-03-19;2015-09-09;Atuar junto à Líder Táxi-Aéreo, a fim de que sejam criados mecanismos para garantir a utilização, com segurança, dos diversos equipamentos opcionais instalados nas aeronaves constantes na especificação operativa da empresa.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39930;IG-170/CENIPA/2013 - RSV 001;2013-12-12;2014-02-12;2014-05-22;Atuar junto às empresas de táxi-aéreo, a fim de que sejam ministradas palestras sobre medicina aeroespacial para todos os aeronavegantes, bem como sobre a importância de um setor médico bem estruturado e estabelecido nas empresas que sirva de suporte aos aeronavegantes.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39930;IG-170/CENIPA/2013 - RSV 002;2013-12-12;2014-02-12;2014-08-22;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves empregadas no serviço de Táxi-Aéreo e na Aviação Regular Brasileira.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39933;A-032/CENIPA/2013-RSV001;2013-12-30;2014-08-22;NULL;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves da aviação geral brasileira.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39969;141/D/11;2011-07-21;2011-08-29;2011-12-20;Determinar a causa da falha do rolamento verificada na análise inicial do motor.;CUMPRIDA;GE CELMA;GE CELMA
39969;142/D/11;2011-07-21;2011-08-29;NULL;Acompanhar a análise do rolamento avariado efetuada na GE Aviation.;AGUARDANDO RESPOSTA;VARIG;VIAÇÃO AÉREA RIO GRANDENSE
39969;143/D/11;2011-07-21;2011-08-25;2011-09-23;Divulgar este Relatório aos operadores de aeronave 737-7EH.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39969;144/D/11;2011-07-21;2011-08-25;2015-08-06;Acompanhar a análise do rolamento avariado, visando verificar a necessidade de emissão de Diretriz de Aeronavegabilidade junto à Autoridade Primária de Certificação do motor.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39992;141/2012;2012-03-22;2012-04-20;2016-02-22;Realizar uma avaliação das condições de escoamento de água da pista de pouso do Aeroporto de Campo de Marte - SBMT, visando verificar se atende aos requisitos aplicáveis.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39992;142/2012;2012-03-22;2012-04-20;2016-02-22;Realizar estudo, juntamente com o DECEA e a INFRAERO, quanto à viabilidade de se instalar nos aeroportos equipamentos de medição de quantidade de chuva (pluviômetros), bem como criar uma tabela de conversão de medida para o estabelecimento da lâmina d'água baseado no índice de precipitação, coordenar a difusão da informação e ainda estabelecer a regulamentação necessária.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39992;143/2012;2012-03-22;2012-04-20;NULL;Reforçar em seu Programa de Treinamento para pilotos a operação em pistas curtas e em condições meteorológicas adversas, dando especial atenção ao adequado uso dos freios da aeronave e ao cálculo da distância de pouso nos casos de pista molhada e contaminada.;AGUARDANDO RESPOSTA;MINAS TPR;MINAS LINHAS AÉREAS
39992;144/2012;2012-03-22;2012-03-22;NULL;Avaliar os procedimentos previstos de operação da Torre de Controle do Campo de Marte no tocante à presença de aeronave acidentada próxima à pista de pouso.;AGUARDANDO RESPOSTA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
39992;145/2012;2012-03-22;2012-03-22;NULL;Divulgar os ensinamentos deste relatório em sua área de atuação durante a realização de seminários, palestras e atividades afins.;CUMPRIDA;SERIPA-1;PRIMEIRO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39992;145/2012;2012-03-22;2012-03-22;NULL;Divulgar os ensinamentos deste relatório em sua área de atuação durante a realização de seminários, palestras e atividades afins.;CUMPRIDA;SERIPA-2;SEGUNDO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39992;145/2012;2012-03-22;2012-03-22;NULL;Divulgar os ensinamentos deste relatório em sua área de atuação durante a realização de seminários, palestras e atividades afins.;CUMPRIDA;SERIPA-3;TERCEIRO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39992;145/2012;2012-03-22;2012-03-22;NULL;Divulgar os ensinamentos deste relatório em sua área de atuação durante a realização de seminários, palestras e atividades afins.;CUMPRIDA;SERIPA-4;QUARTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39992;145/2012;2012-03-22;2012-03-22;NULL;Divulgar os ensinamentos deste relatório em sua área de atuação durante a realização de seminários, palestras e atividades afins.;CUMPRIDA;SERIPA-5;QUINTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39992;145/2012;2012-03-22;2012-03-22;NULL;Divulgar os ensinamentos deste relatório em sua área de atuação durante a realização de seminários, palestras e atividades afins.;CUMPRIDA;SERIPA-6;SEXTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39992;145/2012;2012-03-22;2012-03-22;NULL;Divulgar os ensinamentos deste relatório em sua área de atuação durante a realização de seminários, palestras e atividades afins.;CUMPRIDA;SERIPA-7;SÉTIMO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39993;173/D/11;2011-08-01;2011-08-25;2012-09-19;Realizar uma vistoria de segurança de voo na OUTRA - Oficinas Unidas de Trabalhos Aeronáuticos Ltda., a fim de verificar a conformidade dos seus serviços de manutenção com a legislação em vigor, em especial no tocante à supervisão dos trabalhos realizados.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39993;174/D/11;2011-08-01;2011-08-25;2014-10-27;Realizar uma vistoria de segurança de voo na Flytec - Serviços Aeronáuticos Ltda., a fim de verificar a conformidade dos seus serviços de manutenção com a legislação em vigor, em especial no tocante à manutenção e revisão de carburadores.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40069;463/2012;2012-11-19;2012-12-11;2014-01-21;Estudar a viabilidade de modificar a regulamentação vigente, de modo a estabelecer um nível de requisitos - tanto de certificação, quanto para a operação - compatível com o tipo de operação desenvolvido pelas empresas que operam aeronaves cuja propriedade é compartilhada.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40069;464/2012;2012-11-19;2012-12-11;2014-01-21;Estudar a viabilidade de determinar ao operador a imediata implementação, na estrutura organizacional da empresa, de um setor de prevenção de acidentes, dotado dos recursos humanos e materiais adequados ao desenvolvimento das atividades necessárias à obtenção e manutenção de um nível aceitável de segurança de voo.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40069;465/2012;2012-11-19;2012-12-11;2014-01-21;Estudar a viabilidade de determinar ao operador a imediata adaptação do programa de treinamento dos pilotos às instruções contidas na IAC 135-1002.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40069;466/2012;2012-11-19;2012-12-11;2014-01-21;Estudar a viabilidade de estabelecer limitações quanto à diversidade de tipos e modelos de aeronaves a serem operadas simultaneamente pelos pilotos, bem como de estabelecer a necessidade de elaboração de um programa de treinamento completo para cada tipo de aeronave.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40069;467/2012;2012-11-19;2012-12-11;2014-01-21;Determinar ao operador o estabelecimento de processos e procedimentos que embasem a tomada de decisão de todos os envolvidos na atividade aérea e melhorem a capacidade de supervisão dos seus responsáveis.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40069;468/2012;2012-11-19;2012-12-11;2013-04-19;Adotar mecanismos de divulgação dos ensinamentos e recomendações de segurança de voo contidos na presente investigação aos operadores de aeronave AS-350 e às Escolas de Aviação, enfatizando os aspectos relacionados às diferenças operacionais entre os modelos B3 e B3+ e salientando a importância da padronização na atividade aérea.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40069;469/2012;2012-11-19;2012-12-11;2014-01-21;Estudar a viabilidade de determinar ao operador a imediata nomeação e padronização dos instrutores de voo da empresa.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40069;470/2012;2012-11-19;2012-12-11;NULL;Divulgar os ensinamentos e as recomendações de segurança de voo contidos na presente investigação aos pilotos de aeronave AS-350 e à comunidade aeronáutica, enfatizando os aspectos relacionados às diferenças operacionais entre os modelos B3 e B3+ e salientando a importância da padronização na atividade aérea.;AGUARDANDO RESPOSTA;ABRAPHE;ASSOCIAÇÃO BRASILEIRA DE PILOTOS DE HELICÓPTEROS
40087;019/2010;2010-04-30;2010-04-30;NULL;Reciclar-se quanto aos procedimentos de drenagem de combustível da aeronave C-210H.;***;DIVERSOS-J;OPERADOR DA AERONAVE
40087;020/2010;2010-04-30;2010-04-30;NULL;Reciclar-se em relação a todos os cheques previstos para procedimentos de emergência descritos no checklist da aeronave.;***;DIVERSOS-J;OPERADOR DA AERONAVE
40087;021/2010;2010-04-30;2010-04-30;NULL;Realizar intervenções de manutenção na aeronave sempre que algum dos seus parâmetros estiverem fora do previsto.;***;DIVERSOS-J;OPERADOR DA AERONAVE
40087;022/2010;2010-04-30;2010-04-30;NULL;Reciclar-se com relação ao RBHA 91.;***;DIVERSOS-J;OPERADOR DA AERONAVE
40088;098/2011;2011-07-21;2011-08-01;2012-07-17;Realizar uma vistoria de segurança de voo no setor responsável pelas aeronaves do Governo do Estado de Roraima, visando verificar as suas condições operacionais, em especial no tocante ao planejamento dos voos e à supervisão da atividade aérea.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40088;099/2011;2011-07-21;2011-08-09;NULL;Coibir a operação de aeronaves na pista de pouso até que seja efetivada a homologação do aeródromo.;AGUARDANDO RESPOSTA;PREF-UIRAMUTÃ;PREFEITURA MUNICIPAL DE UIRAMUTÃ
40088;100/2011;2011-07-21;2011-08-09;NULL;Viabilizar estudos e projetos de infraestrutura para a homologação do aeródromo, em conformidade com a legislação vigente.;AGUARDANDO RESPOSTA;PREF-UIRAMUTÃ;PREFEITURA MUNICIPAL DE UIRAMUTÃ
40147;093/2012;2012-02-22;2012-12-11;2015-08-06;Avaliar junto à Autoridade Primária de Certificação a viabilidade de diminuir o intervalo de revisão do conjunto de freios, na qual é realizado o procedimento de inspeção visual, em especial nos casos de operação frequente da aeronave em pistas curtas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
40147;094/2012;2012-02-22;2012-12-11;2015-08-06;Avaliar junto à Autoridade Primária de Certificação se o fornecimento dos pinos de fixação das pastilhas de freio pelo fabricante atende aos requisitos de projeto aplicáveis, uma vez que somente são fornecidos com a aquisição do conjunto completo de freios.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
