codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
39316;PPGMH;***;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1992;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;BLUMENAU;RANCHO SUMIDOR;POUSO;INSTRUÇÃO;SUBSTANCIAL;0
39317;PPGOB;***;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1993;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;INSTRUÇÃO;SUBSTANCIAL;0
39318;PTTAF;***;AVIÃO;EMBRAER;EMB-110;E110;TURBOÉLICE;BIMOTOR;5600;5600;1;1976;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;VAL DE CANS / JÚLIO CEZAR RIBEIRO;WILMA REBELO;DESCIDA;TÁXI AÉREO;SUBSTANCIAL;2
39319;PRUGO;***;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6;1981;BRASIL;BRASIL;AVIÃO;PARTICULAR;SOROCABA;FAZENDA SANTA RITA;SUBIDA;PRIVADA;DESTRUÍDA;2
39320;PTFNI;***;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1905;1905;1;1977;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
39321;PTOHL;***;AVIÃO;CESSNA AIRCRAFT;210N;C210;PISTÃO;MONOMOTOR;1724;1724;6;1981;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;PRIVADA;DESTRUÍDA;1
39322;PTYSG;***;HELICÓPTERO;ROBINSON HELICOPTER;R44;R44;PISTÃO;MONOMOTOR;1088;1088;4;1997;BRASIL;BRASIL;HELICÓPTERO;ESPECIALIZADA;MERCEDES-BENZ DO BRASIL LTDA;FORA DE AERODROMO;DECOLAGEM;ESPECIALIZADA;SUBSTANCIAL;0
39323;PUMEL;EXPERIMENTAL;ULTRALEVE;***;MISTRAL 582C;ULAC;PISTÃO;MONOMOTOR;430;430;2;2000;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;EXPERIMENTAL;SUBSTANCIAL;1
39365;PRMAA;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-232;A320;JATO;BIMOTOR;77000;77000;184;2001;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;REGULAR;***;0
39367;PPGLS;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;3;1992;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE;0
39385;PTNIJ;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711C;P28R;PISTÃO;MONOMOTOR;1202;1202;4;1976;BRASIL;BRASIL;AVIÃO;PARTICULAR;NELSON RODRIGUES GUIMARÃES;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;PRIVADA;SUBSTANCIAL;0
39386;PTMFU;REGULAR;AVIÃO;AEROSPATIALE AND ALENIA;ATR-42-300;AT43;TURBOÉLICE;BIMOTOR;16700;16700;50;1987;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;NENHUM;0
39405;PTUML;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;2000;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;AGRÍCOLA;SUBSTANCIAL;0
39487;PRSAM;***;AVIÃO;BEECH AIRCRAFT;F33A;BE33;PISTÃO;MONOMOTOR;1588;1588;4;1994;BRASIL;BRASIL;AVIÃO;PARTICULAR;SANTA GENOVEVA/GOIÂNIA;BRIGADEIRO LYSIAS RODRIGUES;POUSO;PRIVADA;SUBSTANCIAL;0
39507;PTUTM;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-202A;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;2005;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;C.T.O. ITAÚ;FORA DE AERODROMO;OUTRA FASE;AGRÍCOLA;SUBSTANCIAL;0
39527;PTURT;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;2004;BRASIL;BRASIL;AVIÃO;PARTICULAR;FAZENDA IRMÃOS MUNARETTO;FAZENDA IRMÃOS MUNARETTO;VOO A BAIXA ALTURA;AGRÍCOLA;SUBSTANCIAL;0
39627;PRMYE;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;70000;70000;184;2009;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;REGULAR;LEVE;0
39687;PTUPW;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;2003;BRASIL;BRASIL;AVIÃO;ESPECIALIZADA;SANTA TEREZINHA;COMANDANTE ANTONIO AMILTON BERALDO;ESPECIALIZADA;ESPECIALIZADA;NENHUM;0
39707;PTEVH;***;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;7;1979;BRASIL;BRASIL;AVIÃO;PARTICULAR;EDUARDO GOMES;LÁBREA;CRUZEIRO;PRIVADA;LEVE;0
39709;PTOLF;***;AVIÃO;PIPER AIRCRAFT;PA-31T1;PAY1;TURBOÉLICE;BIMOTOR;3946;3946;7;1980;BRASIL;BRASIL;AVIÃO;PARTICULAR;MINISTRO VICTOR KONDER;BACACHERI;CORRIDA APÓS POUSO;PRIVADA;NENHUM;0
39711;PTZPJ;EXPERIMENTAL;AVIÃO;ANTONIO CESAR DA SILVA AMARAL;LANCAIR SUPER E;ZZZZ;PISTÃO;MONOMOTOR;1452;1452;4;2009;BRASIL;BRASIL;AVIÃO;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;EXPERIMENTAL;SUBSTANCIAL;0
39727;PTSOG;***;AVIÃO;EMBRAER;EMB-110P1;E110;TURBOÉLICE;BIMOTOR;5670;5670;20;1991;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FAZENDA PAIAGUAS;MARECHAL RONDON;POUSO;TÁXI AÉREO;LEVE;0
39747;PTEHG;TÁXI AÉREO;AVIÃO;EMBRAER;EMB-820C NAVAJO;PA31;PISTÃO;BIMOTOR;3175;3175;10;1976;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;TÁXI AÉREO;LEVE;0
39748;PRWAR;ESPECIALIZADA;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1497;1497;1;1975;BRASIL;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;ESPECIALIZADA;NENHUM;0
39768;PRESP;ADMINISTRAÇÃO DIRETA;AVIÃO;HAWKER BEECHCRAFT;B200GT;BE20;TURBOÉLICE;BIMOTOR;5670;5670;9;2008;BRASIL;BRASIL;AVIÃO;ADMINISTRAÇÃO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;POLICIAL;LEVE;0
39772;PRLJR;PARTICULAR;AVIÃO;PILATUS;PC-12/47;PC12;TURBOÉLICE;MONOMOTOR;4740;4740;10;2006;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;PRIVADA;NENHUM;0
39787;PPFKI;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1990;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE;0
39789;PTGPL;ESPECIALIZADA;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-201;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;1977;BRASIL;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;CHEQUE DE MOTOR OU ROTOR;ESPECIALIZADA;LEVE;0
39807;PTBXF;INSTRUÇÃO;AVIÃO;CESSNA AIRCRAFT;150E;C150;PISTÃO;MONOMOTOR;726;726;2;1965;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE;0
39809;PTVFM;PARTICULAR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;MONOMOTOR;1157;1157;4;1989;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;PRIVADA;LEVE;0
39810;PTEZN;TÁXI AÉREO;AVIÃO;EMBRAER;EMB-820C NAVAJO;PA31;PISTÃO;BIMOTOR;3175;3175;10;1979;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;TÁXI AÉREO;NENHUM;0
39828;PPEOD;ADMINISTRAÇÃO DIRETA;HELICÓPTERO;EUROCOPTER FRANCE;AS 350 B2;AS50;TURBOEIXO;MONOMOTOR;2250;2250;6;1992;BRASIL;BRASIL;HELICÓPTERO;ADMINISTRAÇÃO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;POLICIAL;LEVE;0
39847;PRLJS;PARTICULAR;AVIÃO;CIRRUS DESIGN;SR22;SR22;PISTÃO;MONOMOTOR;1542;1542;4;2006;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;PRIVADA;LEVE;0
39848;PTMXA;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A321-231;A321;JATO;BIMOTOR;89000;89000;232;2007;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;REGULAR;NENHUM;0
39849;PRMHZ;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2008;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;NENHUM;0
39850;PRJFS;INSTRUÇÃO;AVIÃO;AEROMOT;AMT-600;GURI;PISTÃO;MONOMOTOR;900;900;2;2006;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;INSTRUÇÃO;LEVE;0
39851;PROAM;REGULAR;AVIÃO;FOKKER;F28MK0100;F100;JATO;BIMOTOR;44450;44450;107;1993;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;REGULAR;NENHUM;0
39887;PTNYV;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;MONOMOTOR;1157;1157;4;1982;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;CARLOS PRATES;CARLOS PRATES;SUBIDA;INSTRUÇÃO;SUBSTANCIAL;0
39910;PTMZH;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-232;A320;JATO;BIMOTOR;70000;70000;184;1999;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;REGULAR;LEVE;0
39913;PTMEA;***;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;MONOMOTOR;3969;3969;11;1993;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;***;CRUZEIRO DO SUL;DECOLAGEM;TÁXI AÉREO;NENHUM;0
39914;PPGMA;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1992;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;INSTRUÇÃO;NENHUM;0
39916;PTLJK;***;AVIÃO;LEARJET;35A;LJ35;JATO;BIMOTOR;8301;8301;10;1981;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;EDUARDO GOMES;FORA DE AERODROMO;DECOLAGEM;TÁXI AÉREO;LEVE;0
39930;PTWKQ;***;AVIÃO;CESSNA AIRCRAFT;550;C550;JATO;BIMOTOR;6033;6033;7;1991;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;AEROPUERTO INTERNACIONAL MINISTRO PISTARINI;AFONSO PENA;CRUZEIRO;TÁXI AÉREO;NENHUM;0
39933;PTOID;***;AVIÃO;CESSNA AIRCRAFT;310R;C310;PISTÃO;BIMOTOR;2495;2495;6;1976;BRASIL;BRASIL;AVIÃO;PARTICULAR;DOUTOR RAMALHO FRANCO;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;DESCIDA;PRIVADA;DESTRUÍDA;2
39967;PTHOZ;TÁXI AÉREO;HELICÓPTERO;BELL HELICOPTER;206B;B06;TURBOEIXO;MONOMOTOR;1451;1451;5;1976;BRASIL;BRASIL;HELICÓPTERO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;TÁXI AÉREO;NENHUM;0
39969;PRGEA;***;AVIÃO;BOEING COMPANY;737-7EH;B737;JATO;BIMOTOR;70080;70080;154;2009;BRASIL;BRASIL;AVIÃO;REGULAR;DEPUTADO LUÍS EDUARDO MAGALHÃES;ANTONIO CARLOS JOBIM / GALEÃO;SUBIDA;REGULAR;NENHUM;0
39972;PTNZO;PARTICULAR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711ST;P28T;PISTÃO;MONOMOTOR;1315;1315;4;1980;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;PRIVADA;NENHUM;0
39987;PTAFX;ESPECIALIZADA;AVIÃO;CESSNA AIRCRAFT;170A;C170;PISTÃO;MONOMOTOR;998;998;1;1950;BRASIL;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;ESPECIALIZADA;LEVE;0
39988;PTFLF;INSTRUÇÃO;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;MONOMOTOR;757;757;2;1977;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE;0
39992;PRUUT;***;AVIÃO;EMBRAER;EMB-500;E50P;JATO;BIMOTOR;4750;4750;6;2009;BRASIL;BRASIL;AVIÃO;PARTICULAR;PRESIDENTE JUSCELINO KUBITSCHEK;CAMPO DE MARTE;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
39993;PTBKU;***;AVIÃO;CESSNA AIRCRAFT;150J;C150;PISTÃO;MONOMOTOR;726;726;2;1969;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;GOVERNADOR JOSÉ RICHA;FORA DE AERODROMO;DECOLAGEM;INSTRUÇÃO;LEVE;0
40027;PPFKV;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1990;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;INSTRUÇÃO;LEVE;0
40069;PPMAW;***;HELICÓPTERO;HELIBRAS;AS 350 B3;AS50;TURBOEIXO;MONOMOTOR;2250;2250;7;1999;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;FORA DE AERODROMO;UNICID - UNIVERSIDADE CIDADE DE SÃO PAULO;PARTIDA DO MOTOR;PRIVADA;DESTRUÍDA;0
40087;PTAKS;***;AVIÃO;CESSNA AIRCRAFT;210H;C210;PISTÃO;MONOMOTOR;1542;1542;4;1969;BRASIL;BRASIL;AVIÃO;PARTICULAR;ANÁPOLIS;FAZENDA SÃO LUIZ;DECOLAGEM;PRIVADA;SUBSTANCIAL;0
40088;PTJTM;***;AVIÃO;BEECH AIRCRAFT;E55;BE55;PISTÃO;BIMOTOR;2404;2404;6;1974;BRASIL;BRASIL;AVIÃO;ADMINISTRAÇÃO DIRETA;ATLAS BRASIL CANTANHEDE;SERRA DO SOL;POUSO;NÃO REGULAR;SUBSTANCIAL;0
40089;PTIXG;***;AVIÃO;CESSNA AIRCRAFT;210L;C210;PISTÃO;MONOMOTOR;1724;1724;6;1973;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;PRIVADA;SUBSTANCIAL;0
40107;PTEOS;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-720C;PA32;PISTÃO;MONOMOTOR;1542;1542;7;1977;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;BREVES;GURUPÁ;POUSO;TÁXI AÉREO;LEVE;0
40147;PTWOO;***;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;6;1997;BRASIL;BRASIL;AVIÃO;PARTICULAR;BACACHERI;JOSÉ CLETO;POUSO;PRIVADA;SUBSTANCIAL;0
40148;PTLCI;***;AVIÃO;CESSNA AIRCRAFT;185;C185;PISTÃO;MONOMOTOR;1451;1451;6;1962;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;ESTÂNCIA SANTA MARIA;APROXIMAÇÃO FINAL;PRIVADA;SUBSTANCIAL;0
40149;PPGYK;***;AVIÃO;XAVANTE;A-122-B;A122;PISTÃO;MONOMOTOR;840;840;2;1974;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;BRIGADEIRO ARARIPE MACEDO;FORA DE AERODROMO;DECOLAGEM;INSTRUÇÃO;DESTRUÍDA;0
40150;PTJXO;***;AVIÃO;BEECH AIRCRAFT;A36;BE36;PISTÃO;MONOMOTOR;1632;1632;6;1974;BRASIL;BRASIL;AVIÃO;ADMINISTRAÇÃO DIRETA;SALGADO FILHO;ITAQUI;POUSO;POLICIAL;LEVE;0
40168;PREGB;PARTICULAR;AVIÃO;DASSAULT AVIATION;FALCON 10;FA10;JATO;BIMOTOR;8300;8300;9;1975;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;PRIVADA;NENHUM;0
40170;PPMTA;REGULAR;AVIÃO;MCDONNELL DOUGLAS;DC-10-30F;DC10;JATO;TRIMOTOR;256280;256280;7;1975;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;REGULAR;NENHUM;0
40171;PPGBW;***;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1991;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;PORTO NACIONAL;FORA DE AERODROMO;DECOLAGEM;INSTRUÇÃO;SUBSTANCIAL;0
40190;PROAM;REGULAR;AVIÃO;FOKKER;F28MK0100;F100;JATO;BIMOTOR;44450;44450;107;1993;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;REGULAR;NENHUM;0
40207;PTVJP;TÁXI AÉREO;AVIÃO;EMBRAER;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;1989;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;TÁXI AÉREO;NENHUM;0
40209;PPKBS;INSTRUÇÃO;AVIÃO;XAVANTE;A-122-B;A122;PISTÃO;MONOMOTOR;840;840;2;1978;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;RETA FINAL;INSTRUÇÃO;NENHUM;0
40210;PTKDZ;PARTICULAR;AVIÃO;CESSNA AIRCRAFT;182P;C182;PISTÃO;MONOMOTOR;1338;1338;5;1974;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;PRIVADA;NENHUM;0
40211;PRCHE;TÁXI AÉREO;HELICÓPTERO;SIKORSKY AIRCRAFT;S-76C;S76;TURBOEIXO;BIMOTOR;5307;5307;14;2007;BRASIL;BRASIL;HELICÓPTERO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;TÁXI AÉREO;NENHUM;0
40212;PPXRK;EXPERIMENTAL;AVIÃO;***;BUMERANGUE EX27;ZZZZ;PISTÃO;MONOMOTOR;1194;1194;4;2008;BRASIL;BRASIL;AVIÃO;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;EXPERIMENTAL;NENHUM;0
40213;PTDSO;***;AVIÃO;CESSNA AIRCRAFT;210K;C210;PISTÃO;MONOMOTOR;1724;1724;6;1970;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;PRIVADA;LEVE;0
40214;PTWTT;***;AVIÃO;BEECH AIRCRAFT;58;BE58;PISTÃO;BIMOTOR;2449;2449;6;1974;BRASIL;BRASIL;AVIÃO;ADMINISTRAÇÃO INDIRETA;OURILÂNDIA DO NORTE;FORA DE AERODROMO;POUSO;PRIVADA;SUBSTANCIAL;0
40215;PRTTH;REGULAR;AVIÃO;AEROSPATIALE AND ALENIA;ATR-42-500;AT45;TURBOÉLICE;BIMOTOR;18600;18600;52;1996;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;REGULAR;NENHUM;0
40227;PTMFT;REGULAR;AVIÃO;AEROSPATIALE AND ALENIA;ATR-42-320;AT43;TURBOÉLICE;BIMOTOR;16700;16700;50;1992;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;REGULAR;NENHUM;0
40228;PTIDY;INSTRUÇÃO;AVIÃO;PIPER AIRCRAFT;PA-34-200;PA34;PISTÃO;BIMOTOR;1905;1905;7;1972;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;INSTRUÇÃO;LEVE;0
40247;PTEQV;INSTRUÇÃO;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6;1977;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;INSTRUÇÃO;LEVE;0
40248;PRSSB;ESPECIALIZADA;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;MONOMOTOR;4110;4110;3;2000;BRASIL;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;ESPECIALIZADA;LEVE;0
40250;PPZAV;EXPERIMENTAL;AVIÃO;NILSON SULZBACH PERES;KIT FOX;ZZZZ;PISTÃO;MONOMOTOR;530;530;2;1989;BRASIL;BRASIL;AVIÃO;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;EXPERIMENTAL;SUBSTANCIAL;0
