codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;codigo_ocorrencia3;codigo_ocorrencia4;ocorrencia_classificacao;ocorrencia_latitude;ocorrencia_longitude;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_numero;divulgacao_relatorio_publicado;divulgacao_dia_publicacao;total_recomendacoes;total_aeronaves_envolvidas;ocorrencia_saida_pista
39235;39235;39235;39235;39235;ACIDENTE;-18.0583333333;-50.1458333333;ITUMBIARA;GO;BRASIL;****;06/02/2010;17:20:00;SIM;FINALIZADA;A-067/CENIPA/2011;SIM;2011-08-29;3;1;NÃO
39295;39295;39295;39295;39295;ACIDENTE;***;***;RIO DE JANEIRO;RJ;BRASIL;****;06/02/2010;21:09:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40207;40207;40207;40207;40207;INCIDENTE;;;CRUZEIRO DO SUL;AC;BRASIL;SBCZ;06/02/2010;22:30:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39115;39115;39115;39115;39115;ACIDENTE;-13.3805555556;-44.6172222222;CORRENTINA;BA;BRASIL;SNTY;07/02/2010;17:40:00;SIM;FINALIZADA;A-031/CENIPA/2011;SIM;2011-07-21;2;1;NÃO
39367;39367;39367;39367;39367;INCIDENTE;;;SÃO JOSÉ DO RIO PRETO;SP;BRASIL;SBSR;07/02/2010;22:59:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39405;39405;39405;39405;39405;ACIDENTE;-17.1044444444;54.4922222222;ITIQUIRA;MT;BRASIL;****;07/02/2010;11:30:00;SIM;FINALIZADA;A-032/CENIPA/2011;SIM;2011-07-21;1;1;NÃO
40290;40290;40290;40290;40290;INCIDENTE;;;VITÓRIA;ES;BRASIL;SBVT;07/02/2010;02:09:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39178;39178;39178;39178;39178;INCIDENTE;;;CAMPINAS;SP;BRASIL;****;08/02/2010;12:33:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39972;39972;39972;39972;39972;INCIDENTE;;;POÇOS DE CALDAS;MG;BRASIL;SBPC;08/02/2010;13:55:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39969;39969;39969;39969;39969;INCIDENTE;***;***;SALVADOR;BA;BRASIL;SBSV;09/02/2010;23:50:00;SIM;FINALIZADA;I-033/CENIPA/2011;SIM;2011-07-21;4;1;NÃO
39275;39275;39275;39275;39275;ACIDENTE;-23.5758333333;-46.7022222222;SÃO PAULO;SP;BRASIL;****;10/02/2010;09:03:00;SIM;FINALIZADA;A-009/CENIPA/2014;SIM;2016-04-22;3;1;NÃO
39967;39967;39967;39967;39967;INCIDENTE;;;TEIXEIRA DE FREITAS;BA;BRASIL;****;11/02/2010;15:01:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39365;39365;39365;39365;39365;INCIDENTE;;;GOIÂNIA;GO;BRASIL;****;12/02/2010;16:48:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
41377;41377;41377;41377;41377;ACIDENTE;***;***;SERRA NEGRA;SP;BRASIL;****;14/02/2010;17:30:00;***;FINALIZADA;ENCERRADA NO RAI;NÃO;NULL;0;1;NÃO
39930;39930;39930;39930;39930;INCIDENTE GRAVE;-25.5311111111;-49.1755555556;CURITIBA;PR;BRASIL;SBCT;16/02/2010;16:25:00;SIM;FINALIZADA;IG-170/CENIPA/2013;SIM;2013-12-12;2;1;NÃO
39992;39992;39992;39992;39992;ACIDENTE;-20.5069444444;-46.6341666667;SÃO PAULO;SP;BRASIL;SBMT;17/02/2010;20:07:00;SIM;FINALIZADA;A-032/CENIPA/2012;SIM;2012-03-22;11;1;SIM
39386;39386;39386;39386;39386;INCIDENTE;;;SÃO PAULO;SP;BRASIL;****;18/02/2010;10:10:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40325;40325;40325;40325;40325;INCIDENTE GRAVE;-7.53111111;-39.70694444;EXU;PE;BRASIL;****;19/02/2010;10:20:00;NULL;FINALIZADA;A DEFINIR;NÃO;NULL;0;1;NÃO
39385;39385;39385;39385;39385;INCIDENTE GRAVE;-15.8691666667;-47.9208333333;BRASÍLIA;DF;BRASIL;SBBR;21/02/2010;17:00:00;SIM;FINALIZADA;IG-052/CENIPA/2011;SIM;2011-08-01;1;1;NÃO
39988;39988;39988;39988;39988;INCIDENTE;;;CURITIBA;PR;BRASIL;SBBI;22/02/2010;16:00:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40318;40318;40318;40318;40318;INCIDENTE;***;***;JUIZ DE FORA;MG;BRASIL;****;22/02/2010;13:47:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39727;39727;39727;39727;39727;INCIDENTE GRAVE;-15.650000;-56.1175000;VÁRZEA GRANDE;MT;BRASIL;SBCY;23/02/2010;19:42:00;SIM;FINALIZADA;IG-534/CENIPA/2018;SIM;2018-12-04;0;1;SIM
39317;39317;39317;39317;39317;ACIDENTE;***;***;RIO VERDE;GO;BRASIL;SWLC;24/02/2010;13:00:00;***;FINALIZADA;ENCERRADA NO RAI;NÃO;NULL;0;1;NÃO
39987;39987;39987;39987;39987;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBJR;24/02/2010;19:37:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
41181;41181;41181;41181;41181;INCIDENTE;;;CASCAVEL;PR;BRASIL;SBCA;25/02/2010;11:17:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39933;39933;39933;39933;39933;ACIDENTE;-19.9602777778;-43.9094444444;BELO HORIZONTE;MG;BRASIL;****;26/02/2010;11:19:00;SIM;FINALIZADA;A-032/CENIPA/2013;SIM;2013-12-30;1;1;NÃO
40296;40296;40296;40296;40296;INCIDENTE;;;CURITIBA;PR;BRASIL;****;26/02/2010;22:32:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40316;40316;40316;40316;40316;INCIDENTE GRAVE;-19.76083;-42.63873;TIMÓTEO;MG;BRASIL;****;26/02/2010;14:40:00;SIM;FINALIZADA;IG-053/CENIPA/2013;SIM;2013-11-12;3;1;NÃO
40331;40331;40331;40331;40331;INCIDENTE;;;CAMPINAS;SP;BRASIL;****;28/02/2010;09:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40314;40314;40314;40314;40314;INCIDENTE;;;SÃO PAULO;SP;BRASIL;****;04/03/2010;23:50:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39916;39916;39916;39916;39916;INCIDENTE GRAVE;-3.0505555556;-60.0508333333;MANAUS;AM;BRASIL;SBEG;07/03/2010;19:35:00;SIM;FINALIZADA;IG-171/CENIPA/2013;SIM;2013-12-30;2;1;SIM
39910;39910;39910;39910;39910;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;08/03/2010;00:49:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39887;39887;39887;39887;39887;ACIDENTE;-19.9091666667;-43.9891666667;BELO HORIZONTE;MG;BRASIL;SBPR;09/03/2010;17:45:00;SIM;FINALIZADA;A-557/CENIPA/2015;SIM;2016-04-07;1;1;SIM
39914;39914;39914;39914;39914;INCIDENTE;;;LONDRINA;PR;BRASIL;SBLO;09/03/2010;21:00:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40312;40312;40312;40312;40312;INCIDENTE;;;CAMPOS DOS GOYTACAZES;RJ;BRASIL;****;09/03/2010;19:18:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39913;39913;39913;39913;39913;INCIDENTE GRAVE;-9.8691666667;-67.8938888889;RIO BRANCO;AC;BRASIL;SBRB;10/03/2010;06:17:00;SIM;FINALIZADA;IG-131/CENIPA/2011;SIM;2011-12-21;3;1;SIM
40150;40150;40150;40150;40150;INCIDENTE GRAVE;-29.71083;-53.69222;SANTA MARIA;RS;BRASIL;SBSM;10/03/2010;17:20:00;SIM;FINALIZADA;IG-524/CENIPA/2017;SIM;2017-11-30;0;1;NÃO
40273;40273;40273;40273;40273;INCIDENTE;***;***;RIO BRANCO;AC;BRASIL;SBRB;10/03/2010;14:30:00;SIM;FINALIZADA;NULL;NÃO;NULL;0;1;NÃO
39993;39993;39993;39993;39993;INCIDENTE GRAVE;-23.33028;-51.13667;LONDRINA;PR;BRASIL;SBLO;11/03/2010;12:30:00;SIM;FINALIZADA;I-053/CENIPA/2011;SIM;2011-08-01;2;1;NÃO
41986;41986;41986;41986;41986;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;11/03/2010;03:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40260;40260;40260;40260;40260;INCIDENTE;;;BELO HORIZONTE;MG;BRASIL;****;12/03/2010;18:10:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
41988;41988;41988;41988;41988;INCIDENTE;;;SÃO JOSÉ DOS PINHAIS;PR;BRASIL;SBCT;12/03/2010;03:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40027;40027;40027;40027;40027;INCIDENTE;;;BLUMENAU;SC;BRASIL;SSBL;15/03/2010;21:05:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40320;40320;40320;40320;40320;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;15/03/2010;09:57:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40322;40322;40322;40322;40322;INCIDENTE;;;BELÉM;PA;BRASIL;SBJC;15/03/2010;18:15:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40307;40307;40307;40307;40307;INCIDENTE;;;BELÉM;PA;BRASIL;SBJC;16/03/2010;20:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40168;40168;40168;40168;40168;INCIDENTE;;;MONTES CLAROS;MG;BRASIL;SBMK;17/03/2010;01:34:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40329;40329;40329;40329;40329;INCIDENTE;;;SÃO PAULO;SP;BRASIL;SBSP;18/03/2010;12:10:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
41998;41998;41998;41998;41998;INCIDENTE;;;CONFINS;MG;BRASIL;SBCF;18/03/2010;13:37:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
41999;41999;41999;41999;41999;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;18/03/2010;03:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40088;40088;40088;40088;40088;ACIDENTE;-4.5880555556;-60.1722222222;UIRAMUTÃ;RR;BRASIL;****;19/03/2010;13:10:00;SIM;FINALIZADA;A-034/CENIPA/2011;SIM;2011-07-21;3;1;SIM
40148;40148;40148;40148;40148;ACIDENTE;-20.5125;-54.5363888889;CAMPO GRANDE;MS;BRASIL;****;19/03/2010;19:30:00;SIM;FINALIZADA;A-054/CENIPA/2011;SIM;2011-08-01;1;1;NÃO
40170;40170;40170;40170;40170;INCIDENTE;;;MANAUS;AM;BRASIL;SBEG;20/03/2010;11:00:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40210;40210;40210;40210;40210;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBJR;20/03/2010;20:02:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40212;40212;40212;40212;40212;INCIDENTE;***;***;UBERLÂNDIA;MG;BRASIL;SBUL;20/03/2010;12:14:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40332;40332;40332;40332;40332;INCIDENTE;;;MACAÉ;RJ;BRASIL;****;20/03/2010;21:58:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40149;40149;40149;40149;40149;ACIDENTE;-16.26222;-47.97000;LUZIÂNIA;GO;BRASIL;SWUZ;21/03/2010;20:45:00;SIM;FINALIZADA;A-068/CENIPA/2011;SIM;2011-08-29;2;1;NÃO
40209;40209;40209;40209;40209;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBJR;21/03/2010;13:46:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
41939;41939;41939;41939;41939;INCIDENTE;;;CONFINS;MG;BRASIL;SBCF;22/03/2010;03:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40330;40330;40330;40330;40330;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;****;24/03/2010;11:35:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
42781;42781;42781;42781;42781;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;25/03/2010;03:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40087;40087;40087;40087;40087;ACIDENTE;-16.3625;-48.9280555556;ANÁPOLIS;GO;BRASIL;SWNS;26/03/2010;10:45:00;SIM;FINALIZADA;A-082/CENIPA/2011;SIM;2011-09-23;4;1;NÃO
40089;40089;40089;40089;40089;ACIDENTE;-14.5388888889;-60.2777777778;VILA BELA DA SANTÍSSIMA TRINDADE;MT;BRASIL;****;28/03/2010;15:10:00;***;FINALIZADA;A DEFINIR;NÃO;NULL;0;1;SIM
40827;40827;40827;40827;40827;INCIDENTE;;;PENÁPOLIS;SP;BRASIL;****;30/03/2010;20:45:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40287;40287;40287;40287;40287;INCIDENTE;;;ITAJAÍ;SC;BRASIL;****;31/03/2010;13:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40326;40326;40326;40326;40326;INCIDENTE;;;RECIFE;PE;BRASIL;****;31/03/2010;15:20:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40288;40288;40288;40288;40288;INCIDENTE;;;FORTALEZA;CE;BRASIL;SBFZ;01/04/2010;13:16:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40275;40275;40275;40275;40275;INCIDENTE;;;BRASÍLIA;DF;BRASIL;SBBR;02/04/2010;18:15:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40291;40291;40291;40291;40291;INCIDENTE;;;CONFINS;MG;BRASIL;SBCF;03/04/2010;20:25:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40251;40251;40251;40251;40251;INCIDENTE;;;FLORIANÓPOLIS;SC;BRASIL;****;04/04/2010;17:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40267;40267;40267;40267;40267;INCIDENTE GRAVE;-13.0213888889;-38.6811111111;VERA CRUZ;BA;BRASIL;SNVR;04/04/2010;11:00:00;SIM;FINALIZADA;IG-580/CENIPA/2016;SIM;2018-12-04;2;1;NÃO
40190;40190;40190;40190;40190;INCIDENTE;***;***;RIO DE JANEIRO;RJ;BRASIL;SBGL;06/04/2010;02:35:00;***;NULL;NULL;NÃO;NULL;3;1;NÃO
40171;40171;40171;40171;40171;ACIDENTE;-10.7275;-48.3336111111;PORTO NACIONAL;TO;BRASIL;SBPN;07/04/2010;18:45:00;SIM;FINALIZADA;A-012/CENIPA/2011;SIM;2011-05-18;2;1;NÃO
40269;40269;40269;40269;40269;INCIDENTE GRAVE;-16.36250;-48.91139;ANÁPOLIS;GO;BRASIL;SWNS;07/04/2010;19:30:00;SIM;FINALIZADA;IG-533/CENIPA/2018;SIM;2019-03-11;1;1;SIM
40147;40147;40147;40147;40147;ACIDENTE;-26.2316666667;-51.0688888889;UNIÃO DA VITÓRIA;PR;BRASIL;SSUV;08/04/2010;14:20:00;SIM;FINALIZADA;A-016/CENIPA/2012;SIM;2012-02-22;3;1;SIM
40250;40250;40250;40250;40250;ACIDENTE;***;***;LUZIÂNIA;GO;BRASIL;****;08/04/2010;20:00:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40292;40292;40292;40292;40292;INCIDENTE;;;CAMPINAS;SP;BRASIL;SBKP;08/04/2010;20:30:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40213;40213;40213;40213;40213;INCIDENTE GRAVE;-16.64436453;-49.34657587;GOIÂNIA;GO;BRASIL;SBNV;09/04/2010;21:00:00;SIM;FINALIZADA;IG-532/CENIPA/2018;SIM;2020-05-29;1;1;NÃO
40295;40295;40295;40295;40295;INCIDENTE;;;RIO BRANCO;AC;BRASIL;SBRB;11/04/2010;19:20:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40214;40214;40214;40214;40214;ACIDENTE;-7.9591666667;-53.2669444444;REDENÇÃO;PA;BRASIL;****;12/04/2010;19:30:00;SIM;FINALIZADA;A-069/CENIPA/2011;SIM;2011-08-29;1;1;NÃO
40227;40227;40227;40227;40227;INCIDENTE;;;AREALVA;SP;BRASIL;****;12/04/2010;14:03:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40228;40228;40228;40228;40228;INCIDENTE;;;SÃO JOSÉ DOS CAMPOS;SP;BRASIL;SBSJ;12/04/2010;17:17:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40258;40258;40258;40258;40258;INCIDENTE;;;MONTE ALEGRE;PA;BRASIL;****;12/04/2010;18:10:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40327;40327;40327;40327;40327;INCIDENTE;;;PORTO ALEGRE;RS;BRASIL;****;12/04/2010;13:13:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40826;40826;40826;40826;40826;INCIDENTE;;;MARÍLIA;SP;BRASIL;SBML;12/04/2010;13:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40248;40248;40248;40248;40248;INCIDENTE;;;PORTO ALEGRE;RS;BRASIL;SBPA;13/04/2010;18:47:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
